"Reporting Year Identifier","Last Name","First Name","Middle Initial","Street Address","Country Code","Gender","Grade Level","ACT ID/SSN","Phone Type","Date of Birth","Phone Number","City","State Code","State","Zip","Expanded Date of Birth","Combined English/Writing Score","Writing Subscore","National Norms","Comments on Essay","ACT Score Before 10/89","State-Assigned Student ID","High School Code","High School English Grades","High School Math Grades","High School Social Studies Grades","High School Science Grades","High School Average","High School Grad Year","Expanded Test Date","Test Date","Test Location","Canadian Province","Canadian Postal Code","Corrected Report Indicator","ACT English Score","ACT Math Score","ACT Reading Score","ACT Science Score","ACT Composite Score","Sum of Scale Scores","Science Interest","Arts Interest","Social Service Interest","Business Contact Interest","Business Operations Interest","Technical Interest","Map Region 1","Map Region 2","Map Region 3","College Choice Number","College Code","Usage/Mech Subscore","Rhetorical Skills Subscore","Elem Algebra Subscore","Alg/Coord Geom Subscore","Plane Geom/Trig Subscore","Soc Stud/Sci Subscore","Arts/Lit Subscore","Usage/Mech National Norm","Rhetorical Skills National Norm","Elem Algebra National Norm","Alg/Coord Geom National Norm","Plane Geom/Trig National Norm","Soc Stud/Sci National Norm","Arts/Lit National Norm","Usage/Mech Local Norm","Rhetorical Skills Local Norm","Elem Algebra Local Norm","Alg/Coord Geom Local Norm","Plane Geom/Trig Local Norm","Soc Stud/Sci Local Norm","Arts/Lit Local Norm","Science Interest Percentile","Arts Interest Percentile","Social Service Interest Percentile","Business Contact Interest Percentile","Business Operations Interest Percentile","Technical Interest","Local ID Number","Mobility Index","Institution Type Index","Selectivity Index","Institution Size Index","Interest Major Fit Index","Student Profile Section","Email","EOS Release","Religious Affiliation","Hispanic/Latino","Am Indian/AK Native","Asian","Black/African American","Hawaiian/Pacific","White","Pref no response","Multiracial","Eng 9 Taken/Planned","Eng 10 Taken/Planned","Eng 11 Taken/Planned","Eng 12 Taken/Planned","Eng Other Taken/Planned","Algebra 1 Taken/Planned","Algebra 2 Taken/Planned","Geometry Taken/Planned","Trig Taken/Planned","Calculus Taken/Planned","Other Math Taken/Planned","Computer Taken/Planned","Gen Sci Taken/Planned","Biology Taken/Planned","Chem Taken/Planned","Physics Taken/Planned","US Hist Taken/Planned","World Hist Taken/Planned","Other Hist Taken/Planned","Government Taken/Planned","Economics Taken/Planned","Geography Taken/Planned","Psychology Taken/Planned","Spanish Taken/Planned","French Taken/Planned","German Taken/Planned","Other Lang Taken/Planned","Art Taken/Planned","Music Taken/Planned","Drama Taken/Planned","Eng 9 Grade","Eng 10 Grade","Eng 11 Grade","Eng 12 Grade","Eng Other Grade","Algebra 1 Grade","Algebra 2 Grade","Geometry Grade","Trig Grade","Calculus Grade","Other Math Grade","Computer Grade","Gen Sci Grade","Biology Grade","Chem Grade","Physics Grade","US Hist Grade","World Hist Grade","Other Hist Grade","Government Grade","Economics Grade","Geography Grade","Psychology Grade","Spanish Grade","French Grade","German Grade","Other Lang Grade","Art Grade","Music Grade","Drama Grade","State Assigned ID","College Predicative Information","English Scale Score National Norm","Math Scale Score National Norm","Reading Scale Score National Norm","Science Scale Score National Norm","Composite Scale Score National Norm","Norms Type"
"14","BERG                     ","EARL            ","P","PO BOX 9998                             ","US","4M","11","914000012","1","100398","          ","NAVAL AIR STATION-MEMPHIS","43","TN","38054    ","19981003","23","08","6986","42      ","          ","0004569752665","053240","30","28","30","30","294","2016","201503","0315","S","  ","       "," ","23","24","24","28","25","099","63","57","4 ","46","0 ","44","08","09","10","","1356","12","11","14","13","11","14","11","71","60","81","83","63","82","57","71","53","80","82","56","80","45","91","77","28","35","51","28","        ","19","08","12","13","  ","   1 311  860999   335  1       1                            121365 512110503      95562341725 17388868      11 1       1                    1    1 1 ","A.ABCDEFGHIJKLMNOP@YAHOO.COM                      ","1","34","3","1"," "," "," "," "," "," ","1","1","1","2","3","1","1","1","1","2","1","3","1","1","1","2","1","1","1","2","2","3","3","1","3","3","3","2","3","2","3","3"," "," "," ","4","2","3","2"," "," "," "," ","3","3"," "," ","3"," "," "," "," "," ","3"," "," "," "," "," "," ","4569752665","6471659581------------------------------------------------------------","68","74","71","93","79","0"
"14","WALTON                   ","WILLIAM         ","M","801 E 132ND STREET                      ","US","4M","11","-91400003","2","123198","1987654321","BURNSVILLE               ","24","MN","55337    ","19981231","22","08","6186","3353    ","          ","1231866644533","101842","27","28","30","33","295","2016","201504","0415","S","  ","       "," ","22","18","24","24","22","088","--","--","- ","--","- ","--","--","--","--","","1356","11","11","08","11","09","13","12","64","60","32","64","38","76","65","60","53","18","55","24","73","54","--","--","--","--","--","--","        ","03","06","16","18","27","   3 511  300360   113  1  11                                112 56 224141005      91       1  16167668999    1                     1                 ","ABCDEFGHIJKLMNOPQRSTUVWXY.PQRSTUVWXYZABCDE@YAHOO.C","1","01","1"," "," "," "," "," ","6"," ","1","1","1","2","3","1","1","1","1","3","1","3","1","1","1","3","1","1","1","2","2","1","2","1","3","3","3","1","3","3","2","3","3"," "," ","3","3","2","3"," ","3"," ","2","4","4"," ","3","3","3"," "," ","3"," ","3"," "," "," "," "," "," ","          ","5625657653------------------------------------------------------------","63","41","71","77","62","0"
"14","BEST                     ","PETE            ","M","2532 BARTLET RD - APT 1A                ","US","4M","11","-91400011","2","090898","5061723456","XANADU                   ","16","IA","52241    ","19980908","21","08","5586","3342    ","          ","0000156646978","101842","27","28","30","33","295","2016","201503","0315","S","  ","       "," ","20","21","16","24","20","081","--","--","- ","--","- ","--","--","--","--","","1356","10","11","09","15","07","09","06","56","60","40","95","15","40","16","47","53","26","98","07","30","07","--","--","--","--","--","--","        ","03","14","25","16","89","   3 511  300360   113  1  11                                112 56 224141005      91       1  16167668999    1                     1                 ","BEST.PETE@YAHOO.COM                               ","1","01","1"," "," "," "," "," ","6"," ","1","1","1","2","3","1","1","1","1","3","1","3","1","1","1","3","1","1","1","2","2","1","2","1","3","3","3","1","3","3","2","3","3"," "," ","3","3","2","3"," ","3"," ","2","4","4"," ","3","3","3"," "," ","3"," ","3"," "," "," "," "," "," ","0156646978","3946127634------------------------------------------------------------","50","57","25","77","48","0"
"14","BLAU                     ","BIANCA          ","D","620 W WASHINGTON AVE                    ","US","4M","12","-91400010","2","121297","          ","COLO' SPRINGS            ","06","CO","809162248","19971212","--","--","----","--------","          ","0005213694543","060748","37","35","33","40","361","2015","201503","0315","S","  ","       "," ","25","23","18","25","23","091","40","49","9 ","65","4 ","53","01","02","03","","1356","12","14","12","12","12","11","07","71","86","66","74","72","59","23","54","79","46","59","48","35","05","17","45","82","93","65","60","        ","43","44","36","21","65","1  2 31   330330   223                           1      111  213866 3131106        94136452715 36388886999   1             1    1                 111 ","BLAU.BIANCA@YAHOO.COM                             ","1","28","2"," "," "," "," ","5"," "," ","1","1","1","2","2","1","1","1","1","3","2","3","1","1","1","2","1","1","3","1","1","2","2","1","3","3","3","1","3","3","4","4","3"," "," ","4","3","4","3"," "," "," ","4","4","4"," ","3","4"," ","3","3"," "," ","4"," "," "," ","4"," "," ","5213694543","6644097042------------------------------------------------------------","78","67","35","84","68","0"
"14","BOULDER                  ","FIRST.PERIOD    ","C","1301 MARCY ST                           ","US","6F","10","-91400009","1","101999","3191234567","DENVER                   ","06","CO","802028692","19991019","--","--","----","--------","          ","             ","060244","40","40","40","40","400","2017","201504","0415","S","  ","       "," ","30","27","28","29","29","114","54","59","9 ","49","3 ","42","10","11","12","","1356","17","14","15","14","14","14","15","96","86","87","92","90","82","85","96","79","77","89","82","70","76","65","82","82","46","24","22","        ","24","55","41","25","66","1  1 311  530530   224 211112  1             11222 112 2222 1113677 513211406      84364271514 17388889499  1111211222 112 2222 1  111               1","BOULDER.STSTYPE@YAHOO.COM                         ","1","07","3"," "," "," "," ","5"," "," ","1","1","1","2","3","1","1","1","3","2","2","3","2","1","1","1","1","1","2","1","3","3","1","3","3","1","3","3","1","3","4","4","4"," "," ","4","4","4"," "," "," "," "," ","4","4","4","4","4"," ","4"," "," ","4"," "," ","4"," "," ","4"," ","          ","9180739292------------------------------------------------------------","93","88","85","95","93","0"
"14","BROWN                    ","AMY             ","S","                                        ","US","4M","11","-91400008","2","031597","2345678901","FT. MADISON              ","16","IA","52241    ","19970315","--","--","----","--------","          ","3226548952   ","263197","40","40","40","40","400","2015","201403","0314","S","  ","       "," ","35","34","36","31","34","136","66","36","2 ","60","3 ","47","05","08","  ","","1356","18","16","17","17","16","18","18","99","98","96","99","98","99","99","99","97","96","99","98","99","99","94","08","89","83","90","38","        ","02","03","31","29","29","1  1 31   860860   335 212222 111            22111 212 1121 1112978 513110626      94153264714 17388888999  1111222222 212 1122 1  1                  ","BROWN.AMY@YAHOO.COM                               ","1","34","2"," "," "," "," ","5"," "," ","1","1","1","2","2","1","1","1","1","2","2","3","1","1","1","1","1","3","1","1","2","3","2","1","3","3","3","1","3","3","4","4"," "," "," ","4"," ","4"," "," "," "," ","4","4","4"," ","4"," ","4"," "," "," "," ","4"," "," "," ","4"," "," ","3226548952","9999999799------------------------------------------------------------","99","99","99","98","99","0"
"14","CAREY                    ","ZOIE            ","M","331 N DUBUQUE ST                        ","US","6F","12","-91400007","1","090295","          ","CHICAGO                  ","14","IL","60629    ","19950902","24","06","7437","32      ","          ","6588944856   ","241627","37","40","40","37","384","2013","201303","0313","S","  ","       "," ","27","27","22","25","25","101","60","52","3 ","55","3 ","73","05","06","07","","1356","14","15","13","14","14","09","15","83","92","74","92","90","40","85","72","87","49","81","77","15","76","84","57","61","70","90","99","        ","03","04","21","22","46","1  1 311  999999   334         1                1         1  212877 513111624      94642351715 17366664     11 1  1        1    1  1              1   ","CAREY.ZOIE@YAHOO.COM                              ","1","25","2"," "," "," "," ","5"," "," ","1","1","1","2","3","1","1","1","3","2","1","2","1","1","1","2","1","1","3","2","2","1","2","1","3","3","3","2","1","3","4","4","3"," "," ","4","4","4"," "," ","4"," ","4","3","4"," ","4","4"," "," "," ","4"," ","4"," "," "," "," ","4"," ","6588944856","7573356358------------------------------------------------------------","85","88","60","84","79","0"
"14","DRAKE                    ","JOHN            ","R","1200 S W AVE                            ","US","4M","11","-91400012","1","041598","5061723456","GALENA                   ","24","MN","         ","19980415","33","10","9999","233465  ","          ","0456684264596","162220","40","40","40","40","400","2016","201505","0515","S","  ","       "," ","35","36","36","35","36","142","66","62","5 ","60","1 ","42","08","09","10","","1356","18","16","18","18","18","18","18","99","98","99","99","99","99","99","99","97","99","99","99","99","99","94","89","68","83","55","22","        ","16","24","36","25","  ","1  1 311  861861   335        11              1              121878 416211426      92275461315 17388788     1111111        1    1  1 1 1          1   ","DRAKE.JOHN@YAHOO.COM                              ","1","25","3"," "," "," ","4"," "," "," ","1","1","1","2","3","1","1","1","1","2","2","3","1","1","1","3","1","1","1","1","3","3","3","1","3","3","3","3","1","3","4","4","4"," "," ","4","4","4","4"," "," "," ","4","4","4"," ","4","4","4","4"," "," "," ","4"," "," "," "," ","4"," ","          ","9999999999------------------------------------------------------------","99","99","99","99","99","0"
"14","LAST.PERIOD              ","ART             "," ","123 RIGHT ) PARENTESES                  ","ZM","4M","11","-91400006","1","093094","3191234567","KABWE                    ","55","FN","         ","19940930","28","09","9094","2434    ","          ","             ","143550","  ","  ","  ","  ","---","2012","201104","0411","S","  ","       "," ","29","35","32","31","32","127","--","--","- ","--","- ","--","--","--","--","","1356","15","16","18","18","16","16","17","88","98","99","99","98","94","97","81","97","99","99","96","88","95","--","--","--","--","--","--","        ","13","19","27","23","90","1  1 31   999882   334                                                614          9        17  63          1111                                      ","FAULK.ART@YAHOO.COM                               ","1","  ","2"," "," "," ","4"," "," "," ","1","1","1","2","3","1","1","1","2","2","1","2","2","1","1","1","1","1","1","2","2","3","3","1","3","3","3","2","3","3"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ","          ","8499919497------------------------------------------------------------","91","99","95","98","98","0"
"14","ROWE                     ","STEVE           ","S","3118 RAVEN ST                           ","US","4M","12","-91400005","1","010196","3191234567","PITTSBURGH               ","16","IA","52240    ","19960101","19","06","4137","32      ","          ","0345649787   ","160040","40","40","40","40","400","2014","201404","0414","S","  ","       "," ","21","22","16","23","21","082","80","46","6 ","52","4 ","58","06","07","08","","1356","11","11","11","12","11","08","07","64","60","58","74","63","29","23","42","32","28","49","31","07","06","99","35","33","59","65","80","        ","71","05","31","28","  ","1  1 311  867867   225        111            1         1    1115564 515141626      9 264351712 17388786999     1 1 111     1  1 1 1111      111   1   ","                                                  ","1","34","3"," ","2"," "," "," "," "," ","1","1","1","2","1","1","1","1","2","3","2","3","1","1","1","3","1","1","3","1","3","1","3","1","3","3","3","3","1","3","4","4","4"," ","4","4","4","4"," "," "," "," ","4","4","4"," ","4","4"," ","4"," ","4"," ","4"," "," "," "," ","4"," ","0345649787","2930054122------------------------------------------------------------","57","61","25","71","55","0"
